id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
mlvbqn8j2pcydzf83vpt2k,WaitroseType,Paysan Breton Cream Cheese French Sea Salt,Paysan Breton Cream Cheese French Sea Salt,Paysan Breton Cream Cheese French Sea Salt,Paysan Breton,2.65,GBP,1,C62,£2.65,£17.67/kg,068328-34685-34686,Paysan Breton Cream Cheese French Sea Salt,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_068328_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_068328_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_068328_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_068328_BP_9.jpg,4.8182,44,150g,,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,
tneakxqhlvfo2n49n804g,WaitroseType,Pazzia Primitivo di Manduria,Pazzia Primitivo di Manduria,Pazzia Primitivo di Manduria,Pazzia,12.99,GBP,1,C62,£12.99,£12.99/75cl,580011-745099-745100,Pazzia Primitivo di Manduria,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_580011_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_580011_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_580011_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_580011_BP_9.jpg,4.6667,12,75cl,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
63d7q7qztlguqtrlhg728r,WaitroseType,Pears Body Wash Lemon Flower,Pears Body Wash Lemon Flower,Pears Body Wash Lemon Flower,Pears,2.9,GBP,1,C62,£2.90,£1.16/100ml,599387-667032-667033,Pears Body Wash Lemon Flower,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_599387_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_599387_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_599387_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_599387_BP_9.jpg,4.6111,54,250ml,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
g2qspu6ymjlokwzhbz6cdr,WaitroseType,Pears Hand Wash,Pears Hand Wash,Pears Hand Wash,Pears,2.85,GBP,1,C62,£2.85,£1.14/100ml,017382-8402-8403,Pears Hand Wash,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_017382_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_017382_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_017382_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_017382_BP_9.jpg,3.9885,87,250ml,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
61l62gwxjzn5xnwyhsm1n,WaitroseType,Pears Hand Wash Lemon Flower Extract,Pears Hand Wash Lemon Flower Extract,Pears Hand Wash Lemon Flower Extract,Pears,2.85,GBP,1,C62,£2.85,£1.14/100ml,859463-690662-690663,Pears Hand Wash Lemon Flower Extract,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_859463_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_859463_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_859463_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_859463_BP_9.jpg,4.2041,49,250ml,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
yqo2sjuspge57n3zgh6ksn,WaitroseType,Pears Original Body Wash,Pears Original Body Wash,Pears Original Body Wash,Pears,2.9,GBP,1,C62,£2.90,£1.16/100ml,821844-747596-747597,Pears Original Body Wash,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_821844_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_821844_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_821844_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_821844_BP_9.jpg,4.1667,48,250ml,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ubcjut1ib1nojr5a9epym,WaitroseType,Pears Pure & Gentle,Pears Pure & Gentle,Pears Pure & Gentle,Pears,1.85,GBP,1,C62,£1.85,£1.48/100g,810442-455384-455385,Pears Pure & Gentle,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_810442_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_810442_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_810442_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_810442_BP_9.jpg,3.7222,18,125g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
u57p3971zfsgn4rmf33f3v,WaitroseType,Peckish Complete Seed & Nut Mix,Peckish Complete Seed & Nut Mix,Peckish Complete Seed & Nut Mix,Peckish,4.4,GBP,1,C62,£4.40,£2.59/kg,613193-691043-691044,Peckish Complete Seed & Nut Mix,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_613193_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_613193_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_613193_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_613193_BP_9.jpg,4.5,2,1.7kg,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
bhoaqo35trh0tocop2724ro,WaitroseType,Peckish No Grow,Peckish No Grow,Peckish No Grow,Peckish,5.25,GBP,1,C62,£5.25,null,697061-802600-802601,Peckish No Grow,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_697061_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_697061_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_697061_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_697061_BP_9.jpg,0,0,1.7kg,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
wvok0zf8un9be6lpmhmlyf,WaitroseType,Pecorino Terre di Chieti IGP,Pecorino Terre di Chieti IGP,Pecorino Terre di Chieti IGP,Pecorino,8.49,GBP,1,C62,£8.49,£8.49/75cl,739412-290652-290653,Pecorino Terre di Chieti IGP,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_739412_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_739412_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_739412_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_739412_BP_9.jpg,4.2821,39,75cl,,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,
bylkw7ow90garvxk94wsas,WaitroseType,Pedigree Dentastix 21 Sticks Large 25kg+ Dog,Pedigree Dentastix 21 Sticks Large 25kg+ Dog,Pedigree Dentastix 21 Sticks Large 25kg+ Dog,Pedigree,8.2,GBP,1,C62,£8.20,£10.13/kg,804197-758940-758941,Pedigree Dentastix 21 Sticks Large 25kg+ Dog,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_804197_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_804197_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_804197_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_804197_BP_9.jpg,0,0,3x270g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
snheaq3xg0jdjm90xqff5o,WaitroseType,Pedigree Dentastix 28 sticks 10-25kg,Pedigree Dentastix 28 sticks 10-25kg,Pedigree Dentastix 28 sticks 10-25kg,Pedigree,8.2,GBP,1,C62,£8.20,£11.39/kg,572677-81135-81136,Pedigree Dentastix 28 sticks 10-25kg,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_572677_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_572677_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_572677_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_572677_BP_9.jpg,3.6667,3,4x180g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
i36f8dk8o2h27dr321xfw9,WaitroseType,Pedigree Dentastix 35 Sticks Small 5-10kg Dog,Pedigree Dentastix 35 Sticks Small 5-10kg Dog,Pedigree Dentastix 35 Sticks Small 5-10kg Dog,Pedigree,8.2,GBP,1,C62,£8.20,£14.91/kg,423096-758874-758875,Pedigree Dentastix 35 Sticks Small 5-10kg Dog,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_423096_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_423096_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_423096_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_423096_BP_9.jpg,4,1,5x110g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
1ledve0gjvru49btqonji,WaitroseType,Pedigree Dentastix 5 Sticks Medium 10-25kg Dog,Pedigree Dentastix 5 Sticks Medium 10-25kg Dog,Pedigree Dentastix 5 Sticks Medium 10-25kg Dog,Pedigree,2,GBP,1,C62,£2.00,£15.63/kg,860936-758944-758945,Pedigree Dentastix 5 Sticks Medium 10-25kg Dog,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_860936_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_860936_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_860936_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_860936_BP_9.jpg,4,2,128g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ghnth4iwl6465msadwtcw3,WaitroseType,Pedigree Dentastix 7 sticks 5-10kg,Pedigree Dentastix 7 sticks 5-10kg,Pedigree Dentastix 7 sticks 5-10kg,Pedigree,2,GBP,1,C62,£2.00,£18.19/kg,095140-48769-48770,Pedigree Dentastix 7 sticks 5-10kg,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_095140_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_095140_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_095140_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_095140_BP_9.jpg,4.5,2,110g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
