id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
hypz3m3amws4hy9ciwp14g,WaitroseType,£10 Building Happier Futures Charity Donation,£10 Building Happier Futures Charity Donation,£10 Building Happier Futures Charity Donation,Waitrose Ltd,10,GBP,1,C62,£10.00,null,806994-807919-807920,£10 Building Happier Futures Charity Donation,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_806994_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_806994_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_806994_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_806994_BP_9.jpg,0,0,each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
e27hig56oysppkawjndr6f,WaitroseType,£10 Charity Donation To Fight Hunger,£10 Charity Donation To Fight Hunger,£10 Charity Donation To Fight Hunger,Waitrose Ltd,10,GBP,1,C62,£10.00,null,886267-807943-807944,£10 Charity Donation To Fight Hunger,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_886267_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_886267_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_886267_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_886267_BP_9.jpg,0,0,each,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
qn8wz9gscupngyiq0vbs,WaitroseType,£100k A Month For A Year,£100k A Month For A Year,£100k A Month For A Year,National Lottery,5,GBP,1,C62,£5.00,null,686273-806444-806445,£100k A Month For A Year,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_686273_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_686273_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_686273_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_686273_BP_9.jpg,0,0,1Each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
9pq7o5tqvpq876f119hxxv,WaitroseType,£100K Green Doubler Scratchcard,£100K Green Doubler Scratchcard,£100K Green Doubler Scratchcard,National Lottery,1,GBP,1,C62,£1.00,null,846645-802252-802253,£100K Green Doubler Scratchcard,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_846645_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_846645_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_846645_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_846645_BP_9.jpg,0,0,Each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
1swdwstdl6fpqpixbcp8vn,WaitroseType,£100k Red Scratchcard,£100k Red Scratchcard,£100k Red Scratchcard,National Lottery,1,GBP,1,C62,£1.00,null,850997-808011-808012,£100k Red Scratchcard,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_850997_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_850997_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_850997_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_850997_BP_9.jpg,0,0,Each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
folc4v99b2j0xgcwt4y4db,WaitroseType,£2 Building Happier Futures Charity Donation,£2 Building Happier Futures Charity Donation,£2 Building Happier Futures Charity Donation,Waitrose Ltd,2,GBP,1,C62,£2.00,null,500052-807875-807876,£2 Building Happier Futures Charity Donation,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_500052_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_500052_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_500052_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_500052_BP_9.jpg,0,0,each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
34k6i8xm243qp4r6dm02h,WaitroseType,£2 Charity Donation To Fight Hunger,£2 Charity Donation To Fight Hunger,£2 Charity Donation To Fight Hunger,Waitrose Ltd,2,GBP,1,C62,£2.00,null,889645-807945-807946,£2 Charity Donation To Fight Hunger,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_889645_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_889645_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_889645_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_889645_BP_9.jpg,0,0,each,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
1239j27ygqsxx7r7fq96yd,WaitroseType,£2 Million Black Scratchcard,£2 Million Black Scratchcard,£2 Million Black Scratchcard,National Lottery,5,GBP,1,C62,£5.00,null,631286-807243-807244,£2 Million Black Scratchcard,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_631286_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_631286_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_631286_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_631286_BP_9.jpg,0,0,1Each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
mpp0vtx16xdpl9rvh4akl,WaitroseType,"£250,000 Green Scratchcard","£250,000 Green Scratchcard","£250,000 Green Scratchcard",National Lottery,2,GBP,1,C62,£2.00,null,846724-793917-793918,"£250,000 Green Scratchcard",https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_846724_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_846724_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_846724_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_846724_BP_9.jpg,0,0,Each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
4nwxngiiceaobof2x8h3s,WaitroseType,£5 Building Happier Futures Charity Donation,£5 Building Happier Futures Charity Donation,£5 Building Happier Futures Charity Donation,Waitrose Ltd,5,GBP,1,C62,£5.00,null,717350-807905-807906,£5 Building Happier Futures Charity Donation,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_717350_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_717350_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_717350_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_717350_BP_9.jpg,0,0,each,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
