id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
po87xnobi6cql6pclbq10f,WaitroseType,Waitrose 8 Nacho Cheese Triangles,Waitrose 8 Nacho Cheese Triangles,Waitrose 8 Nacho Cheese Triangles,Waitrose Ltd,3,GBP,1,C62,£3.00,£1.88/100g,599048-810725-810726,Waitrose 8 Nacho Cheese Triangles,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_599048_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_599048_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_599048_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_599048_BP_9.jpg,0,0,160g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
s9ykai73kvn9wqs57e99v,WaitroseType,Waitrose 8 Salted Caramel All Butter Cookies,Waitrose 8 Salted Caramel All Butter Cookies,Waitrose 8 Salted Caramel All Butter Cookies,Waitrose Ltd,2.3,GBP,1,C62,£2.30,£1.15/100g,891577-524317-524318,Waitrose 8 Salted Caramel All Butter Cookies,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_891577_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_891577_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_891577_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_891577_BP_9.jpg,3.9545,44,200g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
uckiirfatcfrchwd9hfwk,WaitroseType,Waitrose 8 Seeded Tortilla Wraps,Waitrose 8 Seeded Tortilla Wraps,Waitrose 8 Seeded Tortilla Wraps,Waitrose Ltd,1.5,GBP,1,C62,£1.50,29.3p/100g,888118-256005-256006,Waitrose 8 Seeded Tortilla Wraps,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_888118_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_888118_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_888118_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_888118_BP_9.jpg,4.5143,70,512g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
6h668pwqpj1ncy9i382y8,WaitroseType,Waitrose 8 Stem Ginger All Butter Cookies,Waitrose 8 Stem Ginger All Butter Cookies,Waitrose 8 Stem Ginger All Butter Cookies,Waitrose Ltd,2.3,GBP,1,C62,£2.30,£1.15/100g,620930-229179-229180,Waitrose 8 Stem Ginger All Butter Cookies,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_620930_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_620930_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_620930_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_620930_BP_9.jpg,4.6593,135,200g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ne0hcce1fqgagq0zh4t9jp,WaitroseType,Waitrose 8 Unsmoked Lean Bacon Medallions,Waitrose 8 Unsmoked Lean Bacon Medallions,Waitrose 8 Unsmoked Lean Bacon Medallions,Waitrose Ltd,4,GBP,1,C62,£4.00,£20/kg,869740-550433-550434,Waitrose 8 Unsmoked Lean Bacon Medallions,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_869740_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_869740_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_869740_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_869740_BP_9.jpg,4.6081,273,200g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
7npvdp66m2ozsh6zr6zx1b,WaitroseType,Waitrose 8 White Chocolate & Lemon All Butter Cookies,Waitrose 8 White Chocolate & Lemon All Butter Cookies,Waitrose 8 White Chocolate & Lemon All Butter Cookies,Waitrose Ltd,2.3,GBP,1,C62,£2.30,£1.15/100g,846604-499540-499541,Waitrose 8 White Chocolate & Lemon All Butter Cookies,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_846604_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_846604_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_846604_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_846604_BP_9.jpg,4.5333,60,200g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
kcy6pffe30py41hewibkwj,WaitroseType,Waitrose 80 rooibos tea bags caffeine free,Waitrose 80 rooibos tea bags caffeine free,Waitrose 80 rooibos tea bags caffeine free,Waitrose Ltd,3.4,GBP,1,C62,£3.40,£1.70/100g,507536-145572-145573,Waitrose 80 rooibos tea bags caffeine free,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_507536_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_507536_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_507536_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_507536_BP_9.jpg,4.7556,45,200g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
f266hvi23qj25fbv8smvsb,WaitroseType,Waitrose 9oz Celebration Cups 8s,Waitrose 9oz Celebration Cups 8s,Waitrose 9oz Celebration Cups 8s,unknown,2.5,GBP,1,C62,£2.50,31.3p each,837599-702292-702293,Waitrose 9oz Celebration Cups 8s,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_837599_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_837599_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_837599_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_837599_BP_9.jpg,0,0,8,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
kr2mlmqdatd28e55cixm4t,WaitroseType,Waitrose A-Z Multivitamins,Waitrose A-Z Multivitamins,Waitrose A-Z Multivitamins,Waitrose Ltd,5,GBP,1,C62,£5.00,5.6p each,870576-765764-765765,Waitrose A-Z Multivitamins,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_870576_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_870576_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_870576_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_870576_BP_9.jpg,5,1,90s,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
rsg3x4vi3dcvyqn9vi6df,WaitroseType,Waitrose Acacia Honey,Waitrose Acacia Honey,Waitrose Acacia Honey,Waitrose Ltd,4.65,GBP,1,C62,£4.65,£1.37/100g,519592-154535-154536,Waitrose Acacia Honey,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_519592_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_519592_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_519592_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_519592_BP_9.jpg,4.5714,28,340g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
