id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
kxxe8uzply7ia7sfhxqp19,WaitroseType,Château Margerots Bordeaux Supérieur,Château Margerots Bordeaux Supérieur,Château Margerots Bordeaux Supérieur,CHÂTEAU MARGEROTS,10.99,GBP,1,C62,£10.99,£10.99/75cl,837882-761624-761625,Château Margerots Bordeaux Supérieur,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_837882_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_837882_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_837882_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_837882_BP_9.jpg,3,13,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
gur4en6qrc15l5z7q9l3n,WaitroseType,Château Maris Organic Les Planels,Château Maris Organic Les Planels,Château Maris Organic Les Planels,unknown,18.99,GBP,1,C62,£14.99,£14.99/75cl,756643-674879-674880,Château Maris Organic Les Planels,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_756643_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_756643_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_756643_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_756643_BP_9.jpg,4.8889,9,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
m07bffprx122stzppl1w3,WaitroseType,Château Maris Vieilles Vignes Organic Minervois,Château Maris Vieilles Vignes Organic Minervois,Château Maris Vieilles Vignes Organic Minervois,Maris,10.99,GBP,1,C62,£10.99,£10.99/75cl,078363-39895-39896,Château Maris Vieilles Vignes Organic Minervois,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_078363_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_078363_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_078363_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_078363_BP_9.jpg,4.3333,30,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
lbw7367apohwbph783keu,WaitroseType,Château Moulin La Bergère,Château Moulin La Bergère,Château Moulin La Bergère,Château Moulin La Bergère,14.99,GBP,1,C62,£14.99,£14.99/75cl,543305-145598-145599,Château Moulin La Bergère,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_543305_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_543305_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_543305_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_543305_BP_9.jpg,4.2,10,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
z0lqk0jrrzkeqr9jzzopir,WaitroseType,Château Pey la Tour Reserve Magnum,Château Pey la Tour Reserve Magnum,Château Pey la Tour Reserve Magnum,Chateau Pey La Tour,25.99,GBP,1,C62,£25.99,£13/75cl,606365-86019-86020,Château Pey la Tour Reserve Magnum,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_606365_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_606365_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_606365_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_606365_BP_9.jpg,3.3333,3,150cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
pc0ft2dkbms4uy4x2ab4s,WaitroseType,Château Rampeau Bordeaux Sauvignon Sémillon,Château Rampeau Bordeaux Sauvignon Sémillon,Château Rampeau Bordeaux Sauvignon Sémillon,Château Rampeau,10.49,GBP,1,C62,£7.49,£7.49/75cl,687658-665568-665569,Château Rampeau Bordeaux Sauvignon Sémillon,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_687658_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_687658_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_687658_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_687658_BP_9.jpg,4.1429,7,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1fsyo0ggkf82lkkha8uco,WaitroseType,"Château Saint-Jean-des-Graves Bordeaux, France","Château Saint-Jean-des-Graves Bordeaux, France","Château Saint-Jean-des-Graves Bordeaux, France",Chateau Saint-Jean-des-Graves,10.99,GBP,1,C62,£10.99,£10.99/75cl,031120-15187-15188,"Château Saint-Jean-des-Graves Bordeaux, France",https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_031120_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_031120_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_031120_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_031120_BP_9.jpg,4.7273,11,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
vy459tkspsgbn3nriv5qq,WaitroseType,Château Tour Chapoux Bordeaux Supérieur,Château Tour Chapoux Bordeaux Supérieur,Château Tour Chapoux Bordeaux Supérieur,Chateau Tour Chapoux,9.99,GBP,1,C62,£9.99,£9.99/75cl,775731-110329-110330,Château Tour Chapoux Bordeaux Supérieur,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_775731_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_775731_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_775731_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_775731_BP_9.jpg,3.5789,19,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
mby2kwrpzvtr1musj40m0k,WaitroseType,Châteauneuf du Pape Le Grand Prébois,Châteauneuf du Pape Le Grand Prébois,Châteauneuf du Pape Le Grand Prébois,Le Grand Prébois,27.99,GBP,1,C62,£22.99,£22.99/75cl,490973-648018-648019,Châteauneuf du Pape Le Grand Prébois,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_490973_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_490973_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_490973_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_490973_BP_9.jpg,4.1,10,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
4zg8ri4y8qlhuw30j5y33g,WaitroseType,Chablis 1er Cru Fourchaume,Chablis 1er Cru Fourchaume,Chablis 1er Cru Fourchaume,Albert Bichot,29.99,GBP,1,C62,£29.99,£29.99/75cl,478803-585471-585472,Chablis 1er Cru Fourchaume,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_478803_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_478803_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_478803_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_478803_BP_9.jpg,4.8,5,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
