id,productType,name,name.en,name.en-GB,brand,price_amount,currency_code,quantity_amount,quantity_uom,display_price,display_price_qualifier,product_id,product_name,product_image_url_xl,product_image_url_l,product_image_url_m,product_image_url_s,reviews_average_rating,reviews_review_count,size,typical_weight__amount,typical_weight__uom,typical_weight,servings,metaData,lifestyle_goals_vegan,lifestyle_goals_vegetarian,allergy_goals_nuts,uom,allergens,lifestyle,preferences,image-1000,image-200,Image-400,Image-512,skuid,Raw_Materials_Sourcing_Rating,Energy_Efficiency_Rating,Packaging_Rating,Transport_Rating,Social_Impact_Rating,Overall_Rating,image-400,image-512,availabiltyMode,personalize
zgbialjbe8howarkvvk7,WaitroseType,Embassy Signature Gold SK TT,Embassy Signature Gold SK TT,Embassy Signature Gold SK TT,Embassy,11.6,GBP,1,C62,£11.60,58p each,777848-697106-697107,Embassy Signature Gold SK TT,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_777848_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_777848_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_777848_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_777848_BP_9.jpg,0,0,20s,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
zelwr0ss8ohe3108c16duu,WaitroseType,Embassy Signature Silver TT,Embassy Signature Silver TT,Embassy Signature Silver TT,Embassy,11.6,GBP,1,C62,£11.60,58p each,873297-697316-697317,Embassy Signature Silver TT,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_873297_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_873297_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_873297_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_873297_BP_9.jpg,0,0,20s,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
rv6xmoobou9kadm9ahev,WaitroseType,Ember Air-dried & Sliced Biltong,Ember Air-dried & Sliced Biltong,Ember Air-dried & Sliced Biltong,Ember,3.5,GBP,1,C62,£3.50,£7/100g,824791-804198-804199,Ember Air-dried & Sliced Biltong,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_824791_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_824791_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_824791_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_824791_BP_9.jpg,5,4,50g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
vrhbbptj7vsfxd28rli83k,WaitroseType,Ember Chilli Biltong,Ember Chilli Biltong,Ember Chilli Biltong,Ember,2.2,GBP,1,C62,£2.20,£8.80/100g,437321-662454-662455,Ember Chilli Biltong,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_437321_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_437321_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_437321_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_437321_BP_9.jpg,5,5,25g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
ctzfj2nk29ni7r4w3a7j7,WaitroseType,Ember Original Biltong,Ember Original Biltong,Ember Original Biltong,Ember,2.2,GBP,1,C62,£2.20,£8.80/100g,888532-663326-663327,Ember Original Biltong,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_888532_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_888532_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_888532_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_888532_BP_9.jpg,4.2727,11,25g,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,
h071urrn7upwp2nd2n7g,WaitroseType,Emiliana O Chardonnay,Emiliana O Chardonnay,Emiliana O Chardonnay,Emiliana,8.99,GBP,1,C62,£8.99,£8.99/75cl,857426-757059-757060,Emiliana O Chardonnay,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_857426_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_857426_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_857426_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_857426_BP_9.jpg,4,1,75cl,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
2u8j84n2gpvtf8f78e5th7,WaitroseType,Emiliana O Pinot Noir,Emiliana O Pinot Noir,Emiliana O Pinot Noir,Emiliana,8.99,GBP,1,C62,£8.99,£8.99/75cl,751119-756925-756926,Emiliana O Pinot Noir,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_751119_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_751119_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_751119_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_751119_BP_9.jpg,2.8,5,75cl,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
gjr1qyirf9wc4c8rjcrkq,WaitroseType,Emily Veg Crisps Rainbow Roots,Emily Veg Crisps Rainbow Roots,Emily Veg Crisps Rainbow Roots,EMILY,1.15,GBP,1,C62,£1.15,£3.84/100g,479545-605000-605001,Emily Veg Crisps Rainbow Roots,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_479545_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_479545_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_479545_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_479545_BP_9.jpg,3.75,8,30g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
o71f5ew8qozlayh5qecp,WaitroseType,Emily Veg Thins Barbecue,Emily Veg Thins Barbecue,Emily Veg Thins Barbecue,Emily,1,GBP,1,C62,£1.00,£4.35/100g,418440-801732-801733,Emily Veg Thins Barbecue,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_418440_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_418440_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_418440_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_418440_BP_9.jpg,5,2,23g,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
eqrtbcycr5g50sl6hbx06g,WaitroseType,Eminence de Bijou,Eminence de Bijou,Eminence de Bijou,Éminence de Bijou,14.49,GBP,1,C62,£14.49,£14.49/75cl,613955-801392-801393,Eminence de Bijou,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_613955_BP_4.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/11/LN_613955_BP_11.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/3/LN_613955_BP_3.jpg,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_613955_BP_9.jpg,5,1,75cl,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,
